"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1626","GetFranchiseList - page_size is extremely large","API_Regression_Suite","Mon Oct 06 04:12:24 UTC 2025","failed","Mon Oct 06 04:12:26 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","502","GetFranchiseList - country is special characters","API_Regression_Suite","Mon Oct 06 04:12:29 UTC 2025","passed","Mon Oct 06 04:12:29 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"Validates GET /v1/franchise with dynamic parameters - Positive Test","1709","GetFranchiseList","API_Regression_Suite","Mon Oct 06 04:12:06 UTC 2025","passed","Mon Oct 06 04:12:07 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","GetFranchiseList"
"","416","GetFranchiseList - status is boolean","API_Regression_Suite","Mon Oct 06 04:12:33 UTC 2025","passed","Mon Oct 06 04:12:34 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","497","GetFranchiseList - country is null","API_Regression_Suite","Mon Oct 06 04:12:27 UTC 2025","passed","Mon Oct 06 04:12:28 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","492","GetFranchiseList - country is array","API_Regression_Suite","Mon Oct 06 04:12:31 UTC 2025","passed","Mon Oct 06 04:12:32 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","482","GetFranchiseList - page_size is special characters","API_Regression_Suite","Mon Oct 06 04:12:24 UTC 2025","failed","Mon Oct 06 04:12:24 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","513","GetFranchiseList - country is SQL injection","API_Regression_Suite","Mon Oct 06 04:12:36 UTC 2025","passed","Mon Oct 06 04:12:36 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","489","GetFranchiseList - page_size valid, country invalid, status valid","API_Regression_Suite","Mon Oct 06 04:12:39 UTC 2025","passed","Mon Oct 06 04:12:39 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","417","GetFranchiseList - status is SQL injection","API_Regression_Suite","Mon Oct 06 04:12:36 UTC 2025","passed","Mon Oct 06 04:12:37 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","504","GetFranchiseList - country is boolean","API_Regression_Suite","Mon Oct 06 04:12:28 UTC 2025","passed","Mon Oct 06 04:12:29 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","483","GetFranchiseList - page_size is omitted","API_Regression_Suite","Mon Oct 06 04:12:23 UTC 2025","failed","Mon Oct 06 04:12:24 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","501","GetFranchiseList - country is number","API_Regression_Suite","Mon Oct 06 04:12:27 UTC 2025","passed","Mon Oct 06 04:12:27 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","416","GetFranchiseList - status is null","API_Regression_Suite","Mon Oct 06 04:12:32 UTC 2025","passed","Mon Oct 06 04:12:33 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","500","GetFranchiseList - page_size is object","API_Regression_Suite","Mon Oct 06 04:12:26 UTC 2025","failed","Mon Oct 06 04:12:27 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","412","GetFranchiseList - status is array","API_Regression_Suite","Mon Oct 06 04:12:35 UTC 2025","passed","Mon Oct 06 04:12:35 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","519","GetFranchiseList - page_size is float","API_Regression_Suite","Mon Oct 06 04:12:21 UTC 2025","passed","Mon Oct 06 04:12:21 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","510","GetFranchiseList - page_size is array","API_Regression_Suite","Mon Oct 06 04:12:26 UTC 2025","failed","Mon Oct 06 04:12:26 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","497","GetFranchiseList - page_size is boolean true","API_Regression_Suite","Mon Oct 06 04:12:22 UTC 2025","failed","Mon Oct 06 04:12:23 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","433","GetFranchiseList - page_size and country valid, status invalid","API_Regression_Suite","Mon Oct 06 04:12:38 UTC 2025","passed","Mon Oct 06 04:12:39 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","500","GetFranchiseList - country is one character","API_Regression_Suite","Mon Oct 06 04:12:30 UTC 2025","passed","Mon Oct 06 04:12:30 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","435","GetFranchiseList - page_size valid, country valid, status invalid enum","API_Regression_Suite","Mon Oct 06 04:12:39 UTC 2025","passed","Mon Oct 06 04:12:40 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","505","GetFranchiseList - country is longer than 2 chars","API_Regression_Suite","Mon Oct 06 04:12:29 UTC 2025","passed","Mon Oct 06 04:12:30 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","493","GetFranchiseList - page_size is negative","API_Regression_Suite","Mon Oct 06 04:12:21 UTC 2025","passed","Mon Oct 06 04:12:22 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
