"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create a new franchise with valid data","1050","CreateFranchise - valid name with two words","API_Regression_Suite","Mon Oct 06 04:26:16 UTC 2025","passed","Mon Oct 06 04:26:17 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","CreateFranchise"
"","437","GetFranchiseList - country is one character","API_Regression_Suite","Mon Oct 06 04:26:44 UTC 2025","passed","Mon Oct 06 04:26:44 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","1748","GetFranchiseList - page_size is extremely large","API_Regression_Suite","Mon Oct 06 04:26:38 UTC 2025","failed","Mon Oct 06 04:26:40 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","431","GetFranchiseList - page_size is special characters","API_Regression_Suite","Mon Oct 06 04:26:38 UTC 2025","failed","Mon Oct 06 04:26:38 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","383","GetFranchiseList - page_size is negative","API_Regression_Suite","Mon Oct 06 04:26:36 UTC 2025","passed","Mon Oct 06 04:26:36 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","429","GetFranchiseList - page_size is zero","API_Regression_Suite","Mon Oct 06 04:26:36 UTC 2025","failed","Mon Oct 06 04:26:37 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"Validates GET /v1/franchise with dynamic parameters - Positive Test","1510","GetFranchiseList","API_Regression_Suite","Mon Oct 06 04:26:22 UTC 2025","passed","Mon Oct 06 04:26:23 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","GetFranchiseList"
"","443","GetFranchiseList - country is special characters","API_Regression_Suite","Mon Oct 06 04:26:43 UTC 2025","passed","Mon Oct 06 04:26:43 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","417","GetFranchiseList - page_size is SQL injection","API_Regression_Suite","Mon Oct 06 04:26:49 UTC 2025","failed","Mon Oct 06 04:26:49 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","474","GetFranchiseList - country is SQL injection","API_Regression_Suite","Mon Oct 06 04:26:49 UTC 2025","passed","Mon Oct 06 04:26:50 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
