"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","386","GetFranchiseList - country is lowercase","API_Regression_Suite","Mon Oct 06 05:24:11 UTC 2025","passed","Mon Oct 06 05:24:12 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","414","GetFranchiseList - country is null","API_Regression_Suite","Mon Oct 06 05:24:09 UTC 2025","passed","Mon Oct 06 05:24:09 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","334","GetFranchiseList - page_size is negative","API_Regression_Suite","Mon Oct 06 05:24:04 UTC 2025","passed","Mon Oct 06 05:24:05 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","299","GetFranchiseList - status is object","API_Regression_Suite","Mon Oct 06 05:24:14 UTC 2025","passed","Mon Oct 06 05:24:15 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","298","GetFranchiseList - status is SQL injection","API_Regression_Suite","Mon Oct 06 05:24:16 UTC 2025","passed","Mon Oct 06 05:24:16 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","387","GetFranchiseList - page_size is zero","API_Regression_Suite","Mon Oct 06 05:24:05 UTC 2025","failed","Mon Oct 06 05:24:05 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","298","GetFranchiseList - status is empty string","API_Regression_Suite","Mon Oct 06 05:24:13 UTC 2025","passed","Mon Oct 06 05:24:13 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","411","GetFranchiseList - country is SQL injection","API_Regression_Suite","Mon Oct 06 05:24:15 UTC 2025","passed","Mon Oct 06 05:24:16 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","371","GetFranchiseList - page_size is boolean true","API_Regression_Suite","Mon Oct 06 05:24:05 UTC 2025","failed","Mon Oct 06 05:24:05 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","310","GetFranchiseByID","API_Regression_Suite","Mon Oct 06 05:24:03 UTC 2025","passed","Mon Oct 06 05:24:04 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseByID"
"","295","GetFranchiseList - status is special characters","API_Regression_Suite","Mon Oct 06 05:24:14 UTC 2025","passed","Mon Oct 06 05:24:14 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","405","GetFranchiseList - page_size is float","API_Regression_Suite","Mon Oct 06 05:24:04 UTC 2025","passed","Mon Oct 06 05:24:04 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","303","GetFranchiseList - status is null","API_Regression_Suite","Mon Oct 06 05:24:13 UTC 2025","passed","Mon Oct 06 05:24:13 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","298","GetFranchiseList - status is number","API_Regression_Suite","Mon Oct 06 05:24:13 UTC 2025","passed","Mon Oct 06 05:24:13 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","385","GetFranchiseList - page_size valid, country invalid, status valid","API_Regression_Suite","Mon Oct 06 05:24:18 UTC 2025","passed","Mon Oct 06 05:24:18 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","302","GetFranchiseList - status is array","API_Regression_Suite","Mon Oct 06 05:24:15 UTC 2025","passed","Mon Oct 06 05:24:15 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","386","GetFranchiseList - country is one character","API_Regression_Suite","Mon Oct 06 05:24:11 UTC 2025","passed","Mon Oct 06 05:24:11 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","381","GetFranchiseList - country is array","API_Regression_Suite","Mon Oct 06 05:24:12 UTC 2025","passed","Mon Oct 06 05:24:13 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","313","GetFranchiseList - status is not an allowed value","API_Regression_Suite","Mon Oct 06 05:24:14 UTC 2025","passed","Mon Oct 06 05:24:14 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","300","GetFranchiseList - all params as empty string","API_Regression_Suite","Mon Oct 06 05:24:17 UTC 2025","passed","Mon Oct 06 05:24:17 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","375","GetFranchiseList - page_size is array","API_Regression_Suite","Mon Oct 06 05:24:08 UTC 2025","failed","Mon Oct 06 05:24:08 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"Create a new franchise with valid data","1006","CreateFranchise - valid name with two words","API_Regression_Suite","Mon Oct 06 05:23:47 UTC 2025","passed","Mon Oct 06 05:23:48 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","CreateFranchise"
"","363","GetFranchiseList - page_size is special characters","API_Regression_Suite","Mon Oct 06 05:24:06 UTC 2025","failed","Mon Oct 06 05:24:06 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","464","GetFranchiseList - country is boolean","API_Regression_Suite","Mon Oct 06 05:24:10 UTC 2025","passed","Mon Oct 06 05:24:10 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
