"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","309","GetFranchiseList - all params as special chars","API_Regression_Suite","Mon Oct 06 05:57:44 UTC 2025","passed","Mon Oct 06 05:57:44 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","380","GetFranchiseList - page_size valid, country invalid, status valid","API_Regression_Suite","Mon Oct 06 05:57:45 UTC 2025","passed","Mon Oct 06 05:57:45 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","381","GetFranchiseList - country is empty string","API_Regression_Suite","Mon Oct 06 05:57:36 UTC 2025","passed","Mon Oct 06 05:57:37 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","381","GetFranchiseList - country is null","API_Regression_Suite","Mon Oct 06 05:57:36 UTC 2025","passed","Mon Oct 06 05:57:36 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","383","GetFranchiseList - country is number","API_Regression_Suite","Mon Oct 06 05:57:35 UTC 2025","passed","Mon Oct 06 05:57:36 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"Create a new franchise with valid data","1012","CreateFranchise - valid name with two words","API_Regression_Suite","Mon Oct 06 05:57:14 UTC 2025","passed","Mon Oct 06 05:57:15 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","CreateFranchise"
"","392","GetFranchiseList - country is lowercase","API_Regression_Suite","Mon Oct 06 05:57:38 UTC 2025","passed","Mon Oct 06 05:57:39 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","377","GetFranchiseList - page_size is omitted","API_Regression_Suite","Mon Oct 06 05:57:32 UTC 2025","failed","Mon Oct 06 05:57:32 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","340","GetFranchiseList - page_size is negative","API_Regression_Suite","Mon Oct 06 05:57:31 UTC 2025","passed","Mon Oct 06 05:57:31 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","305","GetFranchiseList - status is not an allowed value","API_Regression_Suite","Mon Oct 06 05:57:41 UTC 2025","passed","Mon Oct 06 05:57:41 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","300","GetFranchiseList - status is null","API_Regression_Suite","Mon Oct 06 05:57:40 UTC 2025","passed","Mon Oct 06 05:57:40 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
