"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","375","GetFranchiseList - country is lowercase","API_Regression_Suite","Mon Oct 06 06:04:10 UTC 2025","passed","Mon Oct 06 06:04:10 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"Validates GET /v1/franchise with dynamic parameters - Positive Test","1257","GetFranchiseList","API_Regression_Suite","Mon Oct 06 06:03:51 UTC 2025","passed","Mon Oct 06 06:03:52 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","GetFranchiseList"
"","379","GetFranchiseList - country is number","API_Regression_Suite","Mon Oct 06 06:04:07 UTC 2025","passed","Mon Oct 06 06:04:07 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","374","GetFranchiseList - page_size valid, country invalid, status valid","API_Regression_Suite","Mon Oct 06 06:04:16 UTC 2025","passed","Mon Oct 06 06:04:16 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","286","GetFranchiseList - status is empty string","API_Regression_Suite","Mon Oct 06 06:04:11 UTC 2025","passed","Mon Oct 06 06:04:12 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","289","GetFranchiseList - status is array","API_Regression_Suite","Mon Oct 06 06:04:13 UTC 2025","passed","Mon Oct 06 06:04:13 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","289","GetFranchiseList - status is not an allowed value","API_Regression_Suite","Mon Oct 06 06:04:12 UTC 2025","passed","Mon Oct 06 06:04:12 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","358","GetFranchiseList - page_size is omitted","API_Regression_Suite","Mon Oct 06 06:04:04 UTC 2025","failed","Mon Oct 06 06:04:05 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","354","GetFranchiseList - page_size is special characters","API_Regression_Suite","Mon Oct 06 06:04:05 UTC 2025","failed","Mon Oct 06 06:04:05 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","301","GetFranchiseByID","API_Regression_Suite","Mon Oct 06 06:04:02 UTC 2025","passed","Mon Oct 06 06:04:02 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseByID"
"","375","GetFranchiseList - country is special characters","API_Regression_Suite","Mon Oct 06 06:04:08 UTC 2025","passed","Mon Oct 06 06:04:09 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","388","GetFranchiseList - page_size is object","API_Regression_Suite","Mon Oct 06 06:04:07 UTC 2025","failed","Mon Oct 06 06:04:07 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","374","GetFranchiseList - country is boolean","API_Regression_Suite","Mon Oct 06 06:04:08 UTC 2025","passed","Mon Oct 06 06:04:08 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","289","GetFranchiseList - status is SQL injection","API_Regression_Suite","Mon Oct 06 06:04:14 UTC 2025","passed","Mon Oct 06 06:04:14 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","402","GetFranchiseList - country is array","API_Regression_Suite","Mon Oct 06 06:04:10 UTC 2025","passed","Mon Oct 06 06:04:11 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","366","GetFranchiseList - page_size is array","API_Regression_Suite","Mon Oct 06 06:04:06 UTC 2025","failed","Mon Oct 06 06:04:07 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","290","GetFranchiseList - status is boolean","API_Regression_Suite","Mon Oct 06 06:04:12 UTC 2025","passed","Mon Oct 06 06:04:12 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","322","GetFranchiseList - page_size is negative","API_Regression_Suite","Mon Oct 06 06:04:03 UTC 2025","passed","Mon Oct 06 06:04:03 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","375","GetFranchiseList - country is null","API_Regression_Suite","Mon Oct 06 06:04:07 UTC 2025","passed","Mon Oct 06 06:04:08 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","374","GetFranchiseList - country is numeric string","API_Regression_Suite","Mon Oct 06 06:04:10 UTC 2025","passed","Mon Oct 06 06:04:10 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","291","GetFranchiseList - all params as null","API_Regression_Suite","Mon Oct 06 06:04:14 UTC 2025","passed","Mon Oct 06 06:04:14 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","354","GetFranchiseList - page_size is null","API_Regression_Suite","Mon Oct 06 06:04:04 UTC 2025","failed","Mon Oct 06 06:04:04 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","404","GetFranchiseList - country is longer than 2 chars","API_Regression_Suite","Mon Oct 06 06:04:09 UTC 2025","passed","Mon Oct 06 06:04:09 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","357","GetFranchiseList - page_size is zero","API_Regression_Suite","Mon Oct 06 06:04:03 UTC 2025","failed","Mon Oct 06 06:04:03 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","376","GetFranchiseList - country is SQL injection","API_Regression_Suite","Mon Oct 06 06:04:13 UTC 2025","passed","Mon Oct 06 06:04:14 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","293","GetFranchiseList - status is object","API_Regression_Suite","Mon Oct 06 06:04:12 UTC 2025","passed","Mon Oct 06 06:04:13 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","367","GetFranchiseList - page_size is SQL injection","API_Regression_Suite","Mon Oct 06 06:04:13 UTC 2025","failed","Mon Oct 06 06:04:13 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","290","GetFranchiseList - page_size and country valid, status invalid","API_Regression_Suite","Mon Oct 06 06:04:15 UTC 2025","passed","Mon Oct 06 06:04:16 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","289","GetFranchiseList - all params missing","API_Regression_Suite","Mon Oct 06 06:04:14 UTC 2025","passed","Mon Oct 06 06:04:15 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","288","GetFranchiseList - status is null","API_Regression_Suite","Mon Oct 06 06:04:11 UTC 2025","passed","Mon Oct 06 06:04:11 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","350","GetFranchiseList - page_size is boolean true","API_Regression_Suite","Mon Oct 06 06:04:03 UTC 2025","failed","Mon Oct 06 06:04:04 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","1282","GetFranchiseList - page_size is extremely large","API_Regression_Suite","Mon Oct 06 06:04:05 UTC 2025","failed","Mon Oct 06 06:04:06 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","379","GetFranchiseList - page_size is float","API_Regression_Suite","Mon Oct 06 06:04:02 UTC 2025","passed","Mon Oct 06 06:04:03 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","289","GetFranchiseList - status is special characters","API_Regression_Suite","Mon Oct 06 06:04:12 UTC 2025","passed","Mon Oct 06 06:04:12 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","373","GetFranchiseList - country is empty string","API_Regression_Suite","Mon Oct 06 06:04:08 UTC 2025","passed","Mon Oct 06 06:04:08 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","291","GetFranchiseList - status is number","API_Regression_Suite","Mon Oct 06 06:04:11 UTC 2025","passed","Mon Oct 06 06:04:11 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","380","GetFranchiseList - country is one character","API_Regression_Suite","Mon Oct 06 06:04:09 UTC 2025","passed","Mon Oct 06 06:04:10 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","296","GetFranchiseList - all params as special chars","API_Regression_Suite","Mon Oct 06 06:04:15 UTC 2025","passed","Mon Oct 06 06:04:15 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"Create a new franchise with valid data","1672","CreateFranchise - all valid fields","API_Regression_Suite","Mon Oct 06 06:03:44 UTC 2025","passed","Mon Oct 06 06:03:45 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","CreateFranchise"
"","290","GetFranchiseList - all params as empty string","API_Regression_Suite","Mon Oct 06 06:04:15 UTC 2025","passed","Mon Oct 06 06:04:15 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","289","GetFranchiseList - page_size valid, country valid, status invalid enum","API_Regression_Suite","Mon Oct 06 06:04:16 UTC 2025","passed","Mon Oct 06 06:04:16 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"Create a new franchise with valid data","1341","CreateFranchise - valid name with two words","API_Regression_Suite","Mon Oct 06 06:03:45 UTC 2025","passed","Mon Oct 06 06:03:47 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","CreateFranchise"
