"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","290","GetFranchiseList - status is null","API_Regression_Suite","Tue Oct 07 09:59:10 UTC 2025","passed","Tue Oct 07 09:59:10 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","291","GetFranchiseList - status is boolean","API_Regression_Suite","Tue Oct 07 09:59:11 UTC 2025","passed","Tue Oct 07 09:59:11 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","288","GetFranchiseList - all params as null","API_Regression_Suite","Tue Oct 07 09:59:13 UTC 2025","passed","Tue Oct 07 09:59:14 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","291","GetFranchiseList - status is special characters","API_Regression_Suite","Tue Oct 07 09:59:11 UTC 2025","passed","Tue Oct 07 09:59:11 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"Create a new franchise with valid data","1078","CreateFranchise - valid name with two words","API_Regression_Suite","Tue Oct 07 09:58:45 UTC 2025","passed","Tue Oct 07 09:58:46 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","CreateFranchise"
"","307","GetFranchiseByID","API_Regression_Suite","Tue Oct 07 09:59:01 UTC 2025","passed","Tue Oct 07 09:59:01 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseByID"
"","301","GetFranchiseList - page_size valid, country valid, status invalid enum","API_Regression_Suite","Tue Oct 07 09:59:15 UTC 2025","passed","Tue Oct 07 09:59:15 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"Create a new franchise with valid data","1667","CreateFranchise - all valid fields","API_Regression_Suite","Tue Oct 07 09:58:43 UTC 2025","passed","Tue Oct 07 09:58:45 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","CreateFranchise"
"","326","GetFranchiseList - page_size is negative","API_Regression_Suite","Tue Oct 07 09:59:02 UTC 2025","passed","Tue Oct 07 09:59:02 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","363","GetFranchiseList - page_size is zero","API_Regression_Suite","Tue Oct 07 09:59:02 UTC 2025","failed","Tue Oct 07 09:59:02 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","291","GetFranchiseList - status is number","API_Regression_Suite","Tue Oct 07 09:59:10 UTC 2025","passed","Tue Oct 07 09:59:10 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","389","GetFranchiseList - country is number","API_Regression_Suite","Tue Oct 07 09:59:06 UTC 2025","passed","Tue Oct 07 09:59:06 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","288","GetFranchiseList - all params missing","API_Regression_Suite","Tue Oct 07 09:59:14 UTC 2025","passed","Tue Oct 07 09:59:14 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","459","GetFranchiseList - country is lowercase","API_Regression_Suite","Tue Oct 07 09:59:09 UTC 2025","passed","Tue Oct 07 09:59:09 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","289","GetFranchiseList - status is SQL injection","API_Regression_Suite","Tue Oct 07 09:59:13 UTC 2025","passed","Tue Oct 07 09:59:13 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","352","GetFranchiseList - page_size is special characters","API_Regression_Suite","Tue Oct 07 09:59:03 UTC 2025","failed","Tue Oct 07 09:59:04 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
