"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","336","GetFranchiseList - status is SQL injection","API_Regression_Suite","Fri Oct 17 09:26:57 UTC 2025","passed","Fri Oct 17 09:26:57 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","332","GetFranchiseList - status is empty string","API_Regression_Suite","Fri Oct 17 09:26:54 UTC 2025","passed","Fri Oct 17 09:26:54 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","427","GetFranchiseList - country is boolean","API_Regression_Suite","Fri Oct 17 09:26:50 UTC 2025","passed","Fri Oct 17 09:26:51 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","325","GetFranchiseList - status is special characters","API_Regression_Suite","Fri Oct 17 09:26:55 UTC 2025","passed","Fri Oct 17 09:26:55 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","417","GetFranchiseList - country is number","API_Regression_Suite","Fri Oct 17 09:26:49 UTC 2025","passed","Fri Oct 17 09:26:50 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","432","GetFranchiseList - country is SQL injection","API_Regression_Suite","Fri Oct 17 09:26:56 UTC 2025","passed","Fri Oct 17 09:26:57 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","393","GetFranchiseList - page_size is omitted","API_Regression_Suite","Fri Oct 17 09:26:46 UTC 2025","failed","Fri Oct 17 09:26:46 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","338","GetFranchiseList - all params as empty string","API_Regression_Suite","Fri Oct 17 09:26:58 UTC 2025","passed","Fri Oct 17 09:26:58 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"Create a new franchise with valid data","1194","CreateFranchise - valid name with two words","API_Regression_Suite","Fri Oct 17 09:26:26 UTC 2025","passed","Fri Oct 17 09:26:27 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","CreateFranchise"
"","413","GetFranchiseList - page_size is SQL injection","API_Regression_Suite","Fri Oct 17 09:26:56 UTC 2025","failed","Fri Oct 17 09:26:56 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","1741","GetFranchiseList - page_size is extremely large","API_Regression_Suite","Fri Oct 17 09:26:47 UTC 2025","failed","Fri Oct 17 09:26:48 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","426","GetFranchiseList - country is one character","API_Regression_Suite","Fri Oct 17 09:26:52 UTC 2025","passed","Fri Oct 17 09:26:52 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","337","GetFranchiseByID","API_Regression_Suite","Fri Oct 17 09:26:43 UTC 2025","passed","Fri Oct 17 09:26:44 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseByID"
"","330","GetFranchiseList - page_size and country valid, status invalid","API_Regression_Suite","Fri Oct 17 09:26:59 UTC 2025","passed","Fri Oct 17 09:26:59 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","394","GetFranchiseList - page_size is special characters","API_Regression_Suite","Fri Oct 17 09:26:46 UTC 2025","failed","Fri Oct 17 09:26:47 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","422","GetFranchiseList - page_size valid, country invalid, status valid","API_Regression_Suite","Fri Oct 17 09:26:59 UTC 2025","passed","Fri Oct 17 09:26:59 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","330","GetFranchiseList - all params as special chars","API_Regression_Suite","Fri Oct 17 09:26:58 UTC 2025","passed","Fri Oct 17 09:26:59 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","328","GetFranchiseList - all params missing","API_Regression_Suite","Fri Oct 17 09:26:58 UTC 2025","passed","Fri Oct 17 09:26:58 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","406","GetFranchiseList - country is empty string","API_Regression_Suite","Fri Oct 17 09:26:50 UTC 2025","passed","Fri Oct 17 09:26:50 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","405","GetFranchiseList - page_size is object","API_Regression_Suite","Fri Oct 17 09:26:49 UTC 2025","failed","Fri Oct 17 09:26:49 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","414","GetFranchiseList - country is lowercase","API_Regression_Suite","Fri Oct 17 09:26:52 UTC 2025","passed","Fri Oct 17 09:26:53 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","423","GetFranchiseList - page_size is float","API_Regression_Suite","Fri Oct 17 09:26:44 UTC 2025","passed","Fri Oct 17 09:26:44 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","396","GetFranchiseList - page_size is zero","API_Regression_Suite","Fri Oct 17 09:26:45 UTC 2025","failed","Fri Oct 17 09:26:45 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","332","GetFranchiseList - status is object","API_Regression_Suite","Fri Oct 17 09:26:55 UTC 2025","passed","Fri Oct 17 09:26:56 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
