"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","315","GetFranchiseList - status is array","API_Regression_Suite","Mon Oct 06 05:35:01 UTC 2025","passed","Mon Oct 06 05:35:01 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","316","GetFranchiseList - status is empty string","API_Regression_Suite","Mon Oct 06 05:34:59 UTC 2025","passed","Mon Oct 06 05:35:00 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","418","GetFranchiseList - country is null","API_Regression_Suite","Mon Oct 06 05:34:55 UTC 2025","passed","Mon Oct 06 05:34:55 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","317","GetFranchiseList - all params as empty string","API_Regression_Suite","Mon Oct 06 05:35:03 UTC 2025","passed","Mon Oct 06 05:35:03 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","321","GetFranchiseByID","API_Regression_Suite","Mon Oct 06 05:34:49 UTC 2025","passed","Mon Oct 06 05:34:49 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseByID"
"","314","GetFranchiseList - page_size and country valid, status invalid","API_Regression_Suite","Mon Oct 06 05:35:04 UTC 2025","passed","Mon Oct 06 05:35:04 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","314","GetFranchiseList - status is null","API_Regression_Suite","Mon Oct 06 05:34:59 UTC 2025","passed","Mon Oct 06 05:34:59 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","402","GetFranchiseList - country is boolean","API_Regression_Suite","Mon Oct 06 05:34:56 UTC 2025","passed","Mon Oct 06 05:34:56 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","415","GetFranchiseList - country is numeric string","API_Regression_Suite","Mon Oct 06 05:34:58 UTC 2025","passed","Mon Oct 06 05:34:58 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","320","GetFranchiseList - all params missing","API_Regression_Suite","Mon Oct 06 05:35:03 UTC 2025","passed","Mon Oct 06 05:35:03 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","393","GetFranchiseList - page_size is special characters","API_Regression_Suite","Mon Oct 06 05:34:52 UTC 2025","failed","Mon Oct 06 05:34:52 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","310","GetFranchiseList - status is object","API_Regression_Suite","Mon Oct 06 05:35:01 UTC 2025","passed","Mon Oct 06 05:35:01 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","381","GetFranchiseList - page_size is SQL injection","API_Regression_Suite","Mon Oct 06 05:35:01 UTC 2025","failed","Mon Oct 06 05:35:02 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","389","GetFranchiseList - page_size is boolean true","API_Regression_Suite","Mon Oct 06 05:34:51 UTC 2025","failed","Mon Oct 06 05:34:51 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","386","GetFranchiseList - page_size is zero","API_Regression_Suite","Mon Oct 06 05:34:50 UTC 2025","failed","Mon Oct 06 05:34:51 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","395","GetFranchiseList - page_size is float","API_Regression_Suite","Mon Oct 06 05:34:49 UTC 2025","passed","Mon Oct 06 05:34:50 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","313","GetFranchiseList - status is number","API_Regression_Suite","Mon Oct 06 05:34:59 UTC 2025","passed","Mon Oct 06 05:34:59 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","394","GetFranchiseList - page_size valid, country invalid, status valid","API_Regression_Suite","Mon Oct 06 05:35:04 UTC 2025","passed","Mon Oct 06 05:35:04 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","315","GetFranchiseList - status is SQL injection","API_Regression_Suite","Mon Oct 06 05:35:02 UTC 2025","passed","Mon Oct 06 05:35:02 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","315","GetFranchiseList - all params as null","API_Regression_Suite","Mon Oct 06 05:35:02 UTC 2025","passed","Mon Oct 06 05:35:03 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
